               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.020063,            0.012739,             0.00326,            0.060884,             0.83343,            0.090468,            0.047993,            0.021742,             0.01068,             0.11729,            0.004786,            0.004786,            0.004786
                  81,            0.019666,            0.012843,           0.0022313,            0.062818,             0.85861,            0.088486,             0.04829,             0.02083,            0.010154,             0.11911,             0.00472,             0.00472,             0.00472
                  82,            0.020127,            0.012559,            0.002079,            0.071751,             0.85633,             0.10071,             0.05662,            0.020997,            0.010197,             0.11951,            0.004654,            0.004654,            0.004654
                  83,            0.017683,            0.012146,           0.0043335,            0.076188,             0.86419,             0.10859,            0.060844,            0.020926,            0.010361,             0.11702,            0.004588,            0.004588,            0.004588
                  84,            0.017055,             0.01323,           0.0042925,            0.081247,             0.84552,             0.11879,            0.066918,            0.020209,            0.010329,              0.1198,            0.004522,            0.004522,            0.004522
                  85,            0.019826,            0.012195,           0.0035342,            0.089632,             0.86107,              0.1278,            0.074206,            0.020276,            0.010364,             0.11967,            0.004456,            0.004456,            0.004456
                  86,            0.019947,            0.013049,           0.0028778,            0.085152,             0.87393,             0.11993,            0.070881,            0.019805,            0.010062,             0.11827,             0.00439,             0.00439,             0.00439
                  87,            0.018325,            0.012624,           0.0033574,            0.077668,             0.82851,              0.1095,            0.062172,            0.020687,            0.010797,             0.11802,            0.004324,            0.004324,            0.004324
                  88,            0.018212,            0.012404,           0.0037718,            0.067797,             0.81547,             0.10655,            0.061026,            0.020465,            0.011229,             0.11665,            0.004258,            0.004258,            0.004258
                  89,            0.018764,            0.012565,           0.0036953,            0.074345,               0.801,             0.10545,            0.058295,            0.020697,            0.011016,             0.11569,            0.004192,            0.004192,            0.004192
                  90,            0.019428,            0.012401,           0.0038655,            0.070839,             0.80439,            0.093834,            0.050622,            0.021112,            0.011101,             0.11787,            0.004126,            0.004126,            0.004126
                  91,            0.017183,            0.012123,           0.0034801,            0.076532,             0.80517,            0.095555,             0.05402,            0.020832,            0.011159,             0.11942,             0.00406,             0.00406,             0.00406
                  92,            0.017639,            0.012103,           0.0026939,            0.079759,             0.81715,            0.095263,            0.054489,            0.020141,            0.010622,             0.12162,            0.003994,            0.003994,            0.003994
